scrape_date,travel_date,origin,destination,price_gbp,stops,airline,duration
2025-05-25,2025-05-26,LHR,BKK,286.5,1,HU,PT30H
2025-05-25,2025-05-26,LHR,BKK,286.5,1,HU,PT38H15M
2025-05-25,2025-05-26,LHR,BKK,365.82,1,AI,PT29H50M
2025-05-25,2025-05-31,LHR,BKK,365.82,1,AI,PT15H40M
2025-05-25,2025-05-31,LHR,BKK,365.82,1,AI,PT19H5M
2025-05-25,2025-05-31,LHR,BKK,365.82,1,AI,PT29H50M
2025-05-25,2025-06-05,LHR,BKK,304.32,1,CZ,PT17H50M
2025-05-25,2025-06-05,LHR,BKK,304.32,1,CZ,PT21H20M
2025-05-25,2025-06-05,LHR,BKK,351.12,1,WY,PT28H
2025-05-25,2025-06-10,LHR,BKK,351.12,1,WY,PT14H55M
2025-05-25,2025-06-10,LHR,BKK,351.12,1,WY,PT28H5M
2025-05-25,2025-06-10,LHR,BKK,365.82,1,AI,PT15H40M
2025-05-25,2025-06-15,LHR,BKK,304.32,1,CZ,PT17H50M
2025-05-25,2025-06-15,LHR,BKK,304.32,1,CZ,PT21H20M
2025-05-25,2025-06-15,LHR,BKK,337.52,1,MU,PT18H35M
2025-05-25,2025-06-20,LHR,BKK,365.82,1,AI,PT15H40M
2025-05-25,2025-06-20,LHR,BKK,365.82,1,AI,PT19H5M
2025-05-25,2025-06-20,LHR,BKK,365.82,1,AI,PT29H50M
2025-05-25,2025-06-25,LHR,BKK,286.5,1,HU,PT20H20M
2025-05-25,2025-06-25,LHR,BKK,286.5,1,HU,PT30H
2025-05-25,2025-06-25,LHR,BKK,361.12,1,WY,PT14H55M
2025-05-25,2025-06-30,LHR,BKK,286.5,1,HU,PT30H
2025-05-25,2025-06-30,LHR,BKK,286.5,1,HU,PT38H15M
2025-05-25,2025-06-30,LHR,BKK,361.12,1,WY,PT14H55M
2025-05-25,2025-07-05,LHR,BKK,361.12,1,WY,PT28H5M
2025-05-25,2025-07-05,LHR,BKK,403.12,1,WY,PT14H55M
2025-05-25,2025-07-05,LHR,BKK,434.22,1,ZH,PT22H10M
2025-05-25,2025-07-10,LHR,BKK,361.12,1,WY,PT14H55M
2025-05-25,2025-07-10,LHR,BKK,361.12,1,WY,PT28H
2025-05-25,2025-07-10,LHR,BKK,455.22,1,CA,PT21H45M
2025-05-25,2025-07-15,LHR,BKK,403.12,1,WY,PT28H5M
2025-05-25,2025-07-15,LHR,BKK,455.22,1,CA,PT21H45M
2025-05-25,2025-07-15,LHR,BKK,511.82,1,LX,PT14H
2025-05-25,2025-07-20,LHR,BKK,403.12,1,WY,PT14H55M
2025-05-25,2025-07-20,LHR,BKK,403.12,1,WY,PT28H
2025-05-25,2025-07-20,LHR,BKK,511.82,1,LX,PT14H
2025-05-25,2025-07-25,LHR,BKK,403.12,1,WY,PT28H5M
2025-05-25,2025-07-25,LHR,BKK,511.82,1,LX,PT14H
2025-05-25,2025-07-25,LHR,BKK,511.82,1,LX,PT15H35M
2025-05-25,2025-07-30,LHR,BKK,361.12,1,WY,PT14H55M
2025-05-25,2025-07-30,LHR,BKK,361.12,1,WY,PT28H5M
2025-05-25,2025-07-30,LHR,BKK,466.5,1,HU,PT20H20M
2025-05-25,2025-08-04,LHR,BKK,361.12,1,WY,PT28H5M
2025-05-25,2025-08-04,LHR,BKK,403.12,1,WY,PT14H55M
2025-05-25,2025-08-04,LHR,BKK,446.5,1,HU,PT30H
2025-05-25,2025-08-09,LHR,BKK,361.12,1,WY,PT14H55M
2025-05-25,2025-08-09,LHR,BKK,361.12,1,WY,PT28H5M
2025-05-25,2025-08-09,LHR,BKK,456.32,1,LH,PT14H5M
2025-05-25,2025-08-14,LHR,BKK,361.12,1,WY,PT14H55M
2025-05-25,2025-08-14,LHR,BKK,361.12,1,WY,PT28H
2025-05-25,2025-08-14,LHR,BKK,456.12,1,OS,PT13H20M
2025-05-25,2025-08-19,LHR,BKK,351.12,1,WY,PT14H55M
2025-05-25,2025-08-19,LHR,BKK,351.12,1,WY,PT28H5M
2025-05-25,2025-08-19,LHR,BKK,421.02,1,AI,PT15H55M
2025-05-25,2025-08-24,LHR,BKK,351.12,1,WY,PT14H55M
2025-05-25,2025-08-24,LHR,BKK,351.12,1,WY,PT28H
2025-05-25,2025-08-24,LHR,BKK,365.82,1,AI,PT15H40M
2025-05-25,2025-08-29,LHR,BKK,351.12,1,WY,PT14H55M
2025-05-25,2025-08-29,LHR,BKK,351.12,1,WY,PT28H5M
2025-05-25,2025-08-29,LHR,BKK,365.82,1,AI,PT15H40M
2025-05-25,2025-09-03,LHR,BKK,286.5,1,HU,PT20H20M
2025-05-25,2025-09-03,LHR,BKK,286.5,1,HU,PT30H
2025-05-25,2025-09-03,LHR,BKK,351.12,1,WY,PT14H55M
2025-05-25,2025-09-08,LHR,BKK,286.5,1,HU,PT30H
2025-05-25,2025-09-08,LHR,BKK,286.5,1,HU,PT38H15M
2025-05-25,2025-09-08,LHR,BKK,351.12,1,WY,PT14H55M
2025-05-25,2025-09-13,LHR,BKK,351.12,1,WY,PT14H55M
2025-05-25,2025-09-13,LHR,BKK,351.12,1,WY,PT28H5M
2025-05-25,2025-09-13,LHR,BKK,365.82,1,AI,PT15H40M
2025-05-25,2025-09-18,LHR,BKK,351.12,1,WY,PT14H55M
2025-05-25,2025-09-18,LHR,BKK,365.82,1,AI,PT14H10M
2025-05-25,2025-09-18,LHR,BKK,365.82,1,AI,PT17H35M
2025-05-25,2025-05-26,LHR,DPS,492.72,1,SQ,PT16H35M
2025-05-25,2025-05-26,LHR,DPS,492.72,1,SQ,PT17H15M
2025-05-25,2025-05-26,LHR,DPS,492.72,1,SQ,PT17H30M
2025-05-25,2025-05-31,LHR,DPS,539.02,1,CI,PT34H30M
2025-05-25,2025-05-31,LHR,DPS,552.82,1,EY,PT19H5M
2025-05-25,2025-05-31,LHR,DPS,552.82,1,EY,PT30H40M
