date_collected,origin,destination,flight_date,class,duration,stops,price_usd
2025-05-21,LHR,AMS,2025-06-20,Economy,PT1H15M,0,142.6
2025-05-21,LHR,BCN,2025-06-20,Economy,PT11H45M,0,140.3
2025-05-21,LHR,FCO,2025-06-20,Economy,PT18H15M,0,154.3
2025-05-21,LHR,PRG,2025-06-20,Economy,PT6H5M,0,164.5
2025-05-21,LHR,LIS,2025-06-20,Economy,PT2H45M,0,164.9
2025-05-21,LHR,ATH,2025-06-20,Economy,PT3H35M,0,179.9
2025-05-21,LHR,BUD,2025-06-20,Economy,PT4H40M,0,122.3
2025-05-21,LHR,CDG,2025-06-20,Economy,PT5H45M,0,160.9
2025-05-21,LHR,JFK,2025-06-20,Economy,PT8H4M,0,432.91
2025-05-21,LHR,BKK,2025-06-20,Economy,PT15H40M,0,486.6
2025-05-21,LHR,DPS,2025-06-20,Economy,PT18H20M,0,621.1
2025-05-21,LHR,SGN,2025-06-20,Economy,PT17H40M,0,557.1
2025-05-21,LHR,HAN,2025-06-20,Economy,PT19H5M,0,557.1
2025-05-21,LHR,KUL,2025-06-20,Economy,PT38H55M,1,381.0
2025-05-21,LHR,MNL,2025-06-20,Economy,PT20H35M,0,555.9
2025-05-21,LHR,SYD,2025-06-20,Economy,PT29H50M,0,783.1
2025-05-21,LHR,MEL,2025-06-20,Economy,PT23H10M,0,800.6
2025-05-21,LHR,BNE,2025-06-20,Economy,PT28H25M,0,838.0
2025-05-21,LHR,AMS,2025-06-20,Economy,PT1H15M,0,142.6
2025-05-21,LHR,BCN,2025-06-20,Economy,PT11H45M,0,140.3
2025-05-21,LHR,FCO,2025-06-20,Economy,PT18H15M,0,154.3
2025-05-21,LHR,PRG,2025-06-20,Economy,PT6H5M,0,164.5
2025-05-21,LHR,LIS,2025-06-20,Economy,PT2H45M,0,164.9
2025-05-21,LHR,ATH,2025-06-20,Economy,PT3H35M,0,179.9
2025-05-21,LHR,BUD,2025-06-20,Economy,PT4H40M,0,122.3
2025-05-21,LHR,CDG,2025-06-20,Economy,PT5H45M,0,160.9
2025-05-21,LHR,JFK,2025-06-20,Economy,PT8H4M,0,432.91
2025-05-21,LHR,BKK,2025-06-20,Economy,PT15H40M,0,486.6
2025-05-21,LHR,DPS,2025-06-20,Economy,PT18H20M,0,621.1
2025-05-21,LHR,SGN,2025-06-20,Economy,PT17H40M,0,557.1
2025-05-21,LHR,HAN,2025-06-20,Economy,PT19H5M,0,557.1
2025-05-21,LHR,KUL,2025-06-20,Economy,PT38H55M,1,381.0
2025-05-21,LHR,MNL,2025-06-20,Economy,PT20H35M,0,555.9
2025-05-21,LHR,SYD,2025-06-20,Economy,PT29H50M,0,783.1
2025-05-21,LHR,MEL,2025-06-20,Economy,PT23H10M,0,800.6
2025-05-21,LHR,BNE,2025-06-20,Economy,PT28H25M,0,838.0
2025-05-21,LHR,AMS,2025-06-20,Economy,PT1H15M,0,142.6
2025-05-21,LHR,BCN,2025-06-20,Economy,PT11H45M,0,140.3
2025-05-21,LHR,BKK,2025-06-20,Economy,PT15H40M,0,486.6
2025-05-21,LHR,DPS,2025-06-20,Economy,PT18H20M,0,621.1
2025-05-21,LHR,PRG,2025-06-20,Economy,PT6H5M,0,164.5
2025-05-21,LHR,CDG,2025-06-20,Economy,PT5H45M,0,160.9
2025-05-21,LHR,JFK,2025-06-20,Economy,PT8H4M,0,432.91
2025-05-21,LGW,AMS,2025-06-20,Economy,PT6H35M,0,100.5
2025-05-21,LGW,LIS,2025-06-20,Economy,PT5H15M,0,121.5
2025-05-21,LGW,BCN,2025-06-20,Economy,PT5H35M,0,127.9
2025-05-21,LGW,ATH,2025-06-20,Economy,PT10H40M,0,115.0
2025-05-21,LGW,DUB,2025-06-20,Economy,PT21H,0,270.6
2025-05-21,LGW,KRK,2025-06-20,Economy,PT11H45M,0,108.0
2025-05-21,MAN,AMS,2025-06-20,Economy,PT1H20M,0,154.7
2025-05-21,MAN,CDG,2025-06-20,Economy,PT5H30M,0,178.0
2025-05-21,MAN,BCN,2025-06-20,Economy,PT2H25M,0,139.4
2025-05-21,MAN,IST,2025-06-20,Economy,PT19H30M,0,111.2
2025-05-21,EDI,DUB,2025-06-20,Economy,PT22H45M,0,144.4
2025-05-21,EDI,BCN,2025-06-20,Economy,PT5H,0,201.3
2025-05-21,STN,WAW,2025-06-20,Economy,PT27H55M,0,141.4
2025-05-21,STN,CPH,2025-06-20,Economy,PT11H40M,0,165.0
2025-05-21,STN,MNL,2025-06-20,Economy,PT29H10M,0,760.2
